,country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year,period,continent
343,Slovenia,49.3,17.0,34.0,46.3,41.2,68.0,2024,year,Europe
344,Taiwan,49.0,13.7,32.2,61.8,24.8,80.0,2024,year,Asia
345,Czech Republic,48.6,21.0,35.5,44.1,34.5,64.9,2024,year,Europe
346,Lithuania,48.4,15.8,32.9,43.6,45.1,61.8,2024,year,Europe
347,Spain,48.4,23.6,36.6,45.1,44.0,78.2,2024,year,Europe
348,Belize,48.0,10.7,30.3,47.4,27.9,52.4,2024,year,North America
349,Slovakia,47.9,15.1,32.4,45.1,35.5,55.8,2024,year,Europe
350,Panama,47.4,21.5,35.1,46.4,43.2,34.7,2024,year,North America
351,Saudi Arabia,47.4,12.2,30.7,40.8,32.9,105.1,2024,year,Asia
352,Croatia,46.9,14.5,31.5,42.6,42.6,58.0,2024,year,Europe
353,Portugal,46.6,25.4,36.5,42.9,37.9,46.5,2024,year,Europe
354,Lebanon,46.3,16.5,32.2,33.4,37.8,20.7,2024,year,Asia
355,Guyana,46.2,11.5,29.8,48.2,44.8,21.9,2024,year,South America
356,Cuba,45.6,10.6,29.0,41.3,25.5,1.7,2024,year,North America
357,Ivory Coast,44.7,16.8,31.5,38.3,27.5,8.5,2024,year,Africa
358,Oman,44.4,13.3,29.7,39.5,33.5,109.6,2024,year,Asia
359,Senegal,44.0,22.7,33.9,40.1,37.9,18.0,2024,year,Africa
360,Mexico,43.8,17.0,31.1,45.6,36.7,38.0,2024,year,North America
361,Kuwait,43.4,24.3,34.4,33.8,36.9,128.5,2024,year,Asia
362,Hungary,43.4,11.3,28.2,39.5,36.7,49.8,2024,year,Europe
363,Palestine,43.3,8.4,26.8,40.6,27.4,37.4,2024,year,Asia
364,Ethiopia,43.1,15.1,29.8,42.4,19.5,10.4,2024,year,Africa
365,Jordan,43.0,7.6,26.2,36.9,35.8,36.4,2024,year,Asia
366,Mozambique,43.0,20.6,32.4,35.0,37.6,12.5,2024,year,Africa
367,Poland,41.9,19.2,31.1,35.9,35.7,66.2,2024,year,Europe
368,El Salvador,41.1,16.8,29.6,42.7,30.5,22.2,2024,year,North America
369,Montenegro,40.9,16.6,29.4,36.3,35.6,41.8,2024,year,Europe
370,Albania,40.8,10.2,26.3,39.4,31.0,31.6,2024,year,Europe
371,Chile,39.9,11.5,26.4,40.6,35.1,36.4,2024,year,South America
372,Mauritius,39.8,11.0,26.2,41.4,27.1,32.8,2024,year,Africa
373,Zambia,39.7,9.0,25.2,30.8,19.6,17.4,2024,year,Africa
374,Cameroon,39.6,18.3,29.5,33.4,38.5,8.4,2024,year,Africa
375,Venezuela,39.4,5.7,23.4,38.3,38.5,12.6,2024,year,South America
376,Dominican Republic,39.0,11.2,25.8,36.6,33.2,23.5,2024,year,North America
377,Romania,38.8,10.6,25.4,36.4,35.0,48.4,2024,year,Europe
378,Bulgaria,38.7,9.9,25.1,37.6,32.8,52.6,2024,year,Europe
379,Armenia,38.6,19.5,29.5,34.1,36.2,32.1,2024,year,Asia
380,Myanmar,38.6,15.3,27.5,31.2,16.1,16.0,2024,year,Asia
381,Cambodia,38.5,10.2,25.1,41.6,22.2,16.9,2024,year,Asia
382,Serbia,38.3,12.7,26.2,35.0,30.4,39.6,2024,year,Europe
383,Guatemala,37.7,12.9,25.9,39.1,27.9,29.7,2024,year,North America
384,Honduras,37.3,10.3,24.5,36.6,26.5,35.1,2024,year,North America
385,Georgia,37.2,15.5,26.9,35.7,34.5,27.9,2024,year,Asia
386,Zimbabwe,37.0,10.1,24.2,33.4,26.1,21.5,2024,year,Africa
387,Thailand,36.0,12.4,24.8,41.0,18.4,32.9,2024,year,Asia
388,Brazil,35.2,9.0,22.8,32.4,26.0,30.1,2024,year,South America
389,Fiji,34.8,15.2,25.5,40.0,27.7,64.0,2024,year,Oceania
390,Bosnia And Herzegovina,34.7,5.7,21.0,32.7,22.0,47.1,2024,year,Europe
391,Moldova,34.6,9.8,22.8,31.0,26.6,35.2,2024,year,Europe
392,China,34.1,13.4,24.3,37.6,21.0,60.5,2024,year,Asia
393,North Macedonia,34.1,6.8,21.1,31.2,22.8,37.0,2024,year,Europe
394,Turkey,33.8,13.2,24.0,30.3,25.8,39.3,2024,year,Asia
395,South Africa,33.8,11.8,23.4,27.6,28.7,84.7,2024,year,Africa
396,Ecuador,33.6,8.9,21.9,34.0,24.8,36.4,2024,year,South America
397,Philippines,33.6,8.3,21.6,35.2,17.9,25.9,2024,year,Asia
398,Nicaragua,33.6,8.7,21.8,37.3,21.6,18.1,2024,year,North America
399,Kazakhstan,33.5,13.6,24.0,31.9,29.7,36.8,2024,year,Asia
400,Sri Lanka,33.2,6.0,20.3,44.6,16.7,14.4,2024,year,Asia
401,Mongolia,32.7,11.0,22.4,37.2,21.9,23.5,2024,year,Asia
402,Kosovo,31.3,8.5,20.5,29.3,20.7,34.8,2024,year,Europe
403,Azerbaijan,31.1,8.1,20.2,28.4,30.1,29.4,2024,year,Asia
404,Peru,30.9,9.7,20.8,30.7,21.4,27.3,2024,year,South America
405,Namibia,30.8,10.4,21.1,30.0,27.4,51.4,2024,year,Africa
406,Vietnam,30.8,9.7,20.8,34.6,14.9,32.5,2024,year,Asia
407,Colombia,30.6,8.8,20.3,30.6,20.9,28.1,2024,year,South America
408,Malaysia,30.5,8.2,19.9,35.4,18.3,62.1,2024,year,Asia
409,Uganda,30.4,7.3,19.4,27.8,21.7,15.2,2024,year,Africa
410,Iraq,30.2,8.2,19.8,27.4,20.7,42.0,2024,year,Asia
411,Botswana,30.1,6.1,18.7,27.3,22.5,56.5,2024,year,Africa
412,Morocco,29.9,7.8,19.4,28.8,19.3,30.4,2024,year,Africa
413,Algeria,29.5,4.1,17.5,35.6,13.1,25.4,2024,year,Africa
414,Russia,29.5,9.9,20.2,25.9,26.2,41.5,2024,year,Europe
415,Egypt,29.1,5.5,17.9,27.8,21.7,15.2,2024,year,Africa
416,Somalia,29.0,4.5,17.4,30.9,23.6,30.5,2024,year,Africa
417,Tunisia,28.7,5.0,17.4,30.0,15.2,25.7,2024,year,Africa
418,Ukraine,28.6,8.5,19.0,26.6,22.2,32.2,2024,year,Europe
419,Indonesia,28.5,8.3,18.9,33.6,14.4,25.8,2024,year,Asia
420,Bolivia,28.3,7.4,18.4,25.9,19.7,32.3,2024,year,South America
421,Argentina,27.8,6.8,17.8,25.6,23.6,35.8,2024,year,South America
422,Paraguay,27.6,10.5,19.5,24.9,19.1,28.1,2024,year,South America
423,Uzbekistan,27.1,12.1,20.0,27.8,20.1,28.0,2024,year,Asia
424,Belarus,27.1,8.2,18.2,24.4,25.3,39.6,2024,year,Europe
425,Nepal,26.9,4.0,16.1,24.8,17.6,20.3,2024,year,Asia
426,Iran,26.9,8.9,18.4,21.5,16.5,21.2,2024,year,Asia
427,Kyrgyzstan,26.9,11.1,19.4,25.9,20.0,24.5,2024,year,Asia
428,Rwanda,26.3,9.5,18.3,26.1,19.1,21.7,2024,year,Africa
429,Tanzania,26.0,8.0,17.5,25.8,20.3,21.6,2024,year,Africa
430,Ghana,26.0,11.0,18.8,27.2,22.9,14.8,2024,year,Africa
431,Madagascar,25.2,8.0,17.0,23.6,13.7,12.3,2024,year,Africa
432,Syria,25.0,4.1,15.1,23.5,16.5,4.7,2024,year,Asia
433,Bangladesh,24.9,2.7,14.4,26.6,14.0,25.8,2024,year,Asia
434,Kenya,24.8,7.1,16.4,23.8,18.3,30.6,2024,year,Africa
435,Afghanistan,22.8,2.8,13.3,17.3,13.0,22.4,2024,year,Asia
436,India,22.2,6.2,14.6,23.5,15.6,60.7,2024,year,Asia
437,Libya,21.2,4.4,13.3,21.5,15.2,33.7,2024,year,Africa
438,Nigeria,19.3,15.4,17.4,21.4,13.3,9.4,2024,year,Africa
439,Pakistan,18.5,2.9,11.1,16.4,12.7,24.5,2024,year,Asia
440,Bermuda,141.8,96.3,120.0,143.3,142.0,79.5,2023,year,North America
441,Switzerland,114.2,50.2,83.5,113.9,109.5,118.7,2023,year,Europe
442,Cayman Islands,103.4,75.7,90.1,96.4,92.4,76.7,2023,year,North America
443,Bahamas,90.9,39.6,66.3,74.1,94.8,43.2,2023,year,North America
444,Barbados,88.8,21.2,56.4,80.1,82.7,36.8,2023,year,North America
445,Norway,88.6,30.9,60.9,81.8,90.6,95.0,2023,year,Europe
446,Singapore,85.9,85.3,85.6,74.0,58.4,95.6,2023,year,Asia
447,Iceland,83.3,36.7,61.0,78.3,86.9,90.1,2023,year,Europe
448,Jersey,80.0,53.9,67.4,62.4,90.8,72.6,2023,year,Europe
449,Denmark,78.6,30.4,55.5,62.4,91.9,105.0,2023,year,Europe
450,Israel,76.4,30.4,54.4,63.8,85.0,80.5,2023,year,Asia
451,Hong Kong,75.7,66.3,71.2,79.5,53.6,67.7,2023,year,Asia
452,Australia,75.3,39.0,57.9,73.3,66.2,110.9,2023,year,Oceania
453,Luxembourg,73.2,48.3,61.3,67.0,78.9,127.1,2023,year,Europe
454,New Zealand,72.9,31.9,53.2,69.4,69.7,93.0,2023,year,Oceania
455,United States,72.4,47.1,60.3,71.4,70.8,115.7,2023,year,North America
456,Guernsey,71.0,46.2,59.1,66.1,70.5,77.2,2023,year,Europe
457,Ireland,70.5,44.4,58.0,55.8,71.9,82.6,2023,year,Europe
458,South Korea,70.4,17.5,45.0,87.5,37.6,85.5,2023,year,Asia
459,Macao,68.8,34.9,52.5,74.4,48.2,80.2,2023,year,Asia
460,France,68.7,24.6,47.5,65.1,66.9,86.2,2023,year,Europe
461,Netherlands,68.6,33.4,51.7,57.4,67.6,107.8,2023,year,Europe
462,Finland,67.5,22.7,46.0,58.2,70.4,98.8,2023,year,Europe
463,Puerto Rico,67.0,23.2,46.0,66.4,59.0,62.1,2023,year,North America
464,Canada,66.1,33.4,50.4,64.2,62.8,102.1,2023,year,North America
465,Austria,66.0,23.1,45.4,58.0,63.5,91.2,2023,year,Europe
466,Lebanon,65.8,19.2,43.5,65.3,48.0,22.7,2023,year,Asia
467,Belgium,65.6,22.4,44.9,54.5,69.0,94.5,2023,year,Europe
468,Japan,64.6,20.8,43.6,66.5,37.9,100.4,2023,year,Asia
469,Germany,62.9,26.1,45.3,50.9,56.2,107.6,2023,year,Europe
470,Sweden,62.9,22.7,43.6,55.2,64.3,101.2,2023,year,Europe
471,Isle Of Man,61.8,27.8,45.5,50.1,76.5,167.7,2023,year,Europe
472,United Kingdom,61.5,30.3,46.6,47.7,67.9,98.9,2023,year,Europe
473,Malta,61.4,25.7,44.3,52.0,64.7,50.6,2023,year,Europe
474,Italy,61.3,20.5,41.7,51.9,61.9,66.5,2023,year,Europe
475,United Arab Emirates,60.3,34.0,47.6,46.6,56.6,123.4,2023,year,Asia
476,Uruguay,59.9,15.9,38.8,48.1,59.5,38.4,2023,year,South America
477,Qatar,59.5,50.0,54.9,47.7,58.3,123.6,2023,year,Asia
478,Yemen,58.8,7.9,34.4,66.6,31.2,18.6,2023,year,Asia
479,Cyprus,55.9,27.4,42.2,45.0,55.0,54.8,2023,year,Europe
480,Brunei,55.2,17.9,37.3,64.5,33.8,60.7,2023,year,Asia
481,Maldives,55.0,27.0,41.6,49.8,34.6,33.9,2023,year,Asia
482,Estonia,54.8,16.4,36.4,42.4,55.1,61.4,2023,year,Europe
483,Greece,54.6,12.9,34.6,42.4,50.1,41.9,2023,year,Europe
484,Taiwan,54.2,15.3,35.5,63.3,27.9,71.3,2023,year,Asia
485,Jamaica,53.6,13.6,34.4,55.1,37.1,28.9,2023,year,North America
486,Trinidad And Tobago,53.3,13.7,34.3,51.5,50.4,38.9,2023,year,North America
487,Bahrain,52.7,25.4,39.6,40.9,47.3,81.7,2023,year,Asia
488,Cuba,52.6,16.0,35.1,48.6,29.9,1.6,2023,year,North America
489,Latvia,50.9,10.9,31.7,40.2,43.7,52.9,2023,year,Europe
490,Slovenia,50.8,16.6,34.4,43.9,43.6,61.7,2023,year,Europe
491,Palestine,50.7,9.6,31.0,43.7,37.5,39.8,2023,year,Asia
492,Spain,50.6,21.7,36.7,41.0,51.5,82.5,2023,year,Europe
493,Saudi Arabia,50.6,12.0,32.1,41.7,38.0,101.9,2023,year,Asia
494,Czech Republic,48.9,19.1,34.7,40.7,36.6,71.8,2023,year,Europe
495,Costa Rica,48.8,14.9,32.5,46.7,41.4,41.5,2023,year,North America
496,Lithuania,48.8,16.8,33.4,39.0,48.1,56.7,2023,year,Europe
497,Panama,48.2,19.7,34.5,46.0,41.4,36.4,2023,year,North America
498,Belize,48.0,11.7,30.6,44.8,30.8,49.2,2023,year,North America
499,Oman,47.8,15.8,32.5,42.6,40.1,108.2,2023,year,Asia
500,Guyana,47.3,9.5,29.2,48.7,42.2,23.3,2023,year,South America
501,Kuwait,46.8,27.1,37.4,32.9,42.2,96.7,2023,year,Asia
502,Jordan,46.8,8.8,28.6,38.7,40.6,38.0,2023,year,Asia
503,Croatia,46.7,12.2,30.2,39.5,39.5,56.2,2023,year,Europe
504,Senegal,46.4,22.2,34.8,38.1,43.3,21.7,2023,year,Africa
505,Portugal,45.3,21.9,34.1,36.0,38.7,51.7,2023,year,Europe
506,Cambodia,44.5,13.8,29.8,43.9,26.2,15.5,2023,year,Asia
507,Slovakia,44.2,14.9,30.2,40.0,33.6,56.3,2023,year,Europe
508,Chile,44.1,13.4,29.4,39.9,42.4,37.3,2023,year,South America
509,El Salvador,43.3,14.8,29.6,43.5,31.3,22.7,2023,year,North America
510,Ivory Coast,42.7,15.5,29.6,35.2,27.5,7.8,2023,year,Africa
511,Ethiopia,42.3,17.1,30.2,34.3,19.7,11.6,2023,year,Africa
512,Mauritius,42.2,10.9,27.2,41.6,32.3,30.8,2023,year,Africa
513,Dominican Republic,41.8,11.9,27.5,36.8,33.9,23.0,2023,year,North America
514,Venezuela,41.6,7.4,25.2,37.1,43.6,12.4,2023,year,South America
515,Russia,40.8,12.8,27.4,33.4,39.2,40.9,2023,year,Europe
516,Armenia,40.8,23.5,32.5,34.3,36.1,25.5,2023,year,Asia
517,Zimbabwe,40.8,11.5,26.7,35.0,32.5,18.7,2023,year,Africa
518,Thailand,40.7,13.3,27.6,42.0,21.0,33.2,2023,year,Asia
519,Bulgaria,40.5,10.0,25.9,35.7,35.8,51.2,2023,year,Europe
520,Guatemala,40.2,13.8,27.5,38.9,28.5,29.7,2023,year,North America
521,Hungary,39.2,11.6,26.0,34.8,32.3,53.1,2023,year,Europe
522,China,39.2,18.8,29.4,41.0,27.0,62.3,2023,year,Asia
523,Georgia,38.9,19.3,29.5,33.9,36.7,25.9,2023,year,Asia
524,Montenegro,38.9,13.5,26.7,32.4,32.9,40.4,2023,year,Europe
525,Honduras,38.8,9.3,24.7,33.1,26.2,35.4,2023,year,North America
526,Poland,38.6,16.0,27.8,30.8,34.0,64.0,2023,year,Europe
527,Fiji,38.5,15.1,27.3,41.9,30.7,65.5,2023,year,Oceania
528,South Africa,37.8,14.0,26.4,30.1,34.8,83.9,2023,year,Africa
529,Albania,37.4,9.1,23.9,31.3,26.5,30.1,2023,year,Europe
530,Romania,37.4,9.9,24.2,32.0,33.0,52.5,2023,year,Europe
531,Mexico,37.3,12.8,25.5,36.6,34.0,43.5,2023,year,North America
532,Serbia,37.2,10.6,24.4,30.6,30.2,39.6,2023,year,Europe
533,Nicaragua,36.8,7.8,22.9,34.3,26.0,21.7,2023,year,North America
534,Namibia,35.8,11.8,24.3,30.9,39.1,51.3,2023,year,Africa
535,Vietnam,35.7,11.2,24.0,35.9,18.1,31.5,2023,year,Asia
536,Belarus,35.4,10.0,23.2,31.0,37.2,36.4,2023,year,Europe
537,Iran,35.2,14.6,25.3,26.2,24.6,21.1,2023,year,Asia
538,Bosnia And Herzegovina,35.1,5.9,21.1,30.8,21.8,48.6,2023,year,Europe
539,Ecuador,35.1,9.7,22.9,31.9,26.6,37.0,2023,year,South America
540,Malaysia,35.0,9.8,22.9,36.7,20.5,65.7,2023,year,Asia
541,Brazil,34.7,8.3,22.1,29.3,26.4,28.7,2023,year,South America
542,Botswana,34.4,7.5,21.5,30.5,32.7,63.6,2023,year,Africa
543,Philippines,34.0,9.8,22.4,33.4,20.9,22.4,2023,year,Asia
544,Cameroon,33.6,5.7,20.3,33.8,22.3,18.4,2023,year,Africa
545,Myanmar,32.9,20.0,26.7,33.8,18.4,29.7,2023,year,Asia
546,Peru,32.4,11.1,22.2,29.4,22.3,31.3,2023,year,South America
547,Kenya,32.4,7.8,20.6,29.8,27.0,32.8,2023,year,Africa
548,Moldova,32.3,8.3,20.8,26.8,27.7,33.1,2023,year,Europe
549,Uganda,32.1,9.0,21.0,27.8,23.1,12.5,2023,year,Africa
550,Bolivia,31.9,8.2,20.5,27.8,23.4,37.4,2023,year,South America
551,Iraq,31.4,9.2,20.8,26.6,25.1,44.5,2023,year,Asia
552,North Macedonia,31.4,5.7,19.1,27.1,21.3,38.2,2023,year,Europe
553,Mongolia,31.2,8.3,20.2,31.2,25.5,24.3,2023,year,Asia
554,Argentina,31.2,6.9,19.5,25.7,26.8,36.8,2023,year,South America
555,Indonesia,31.2,8.3,20.2,33.1,16.0,27.5,2023,year,Asia
556,Nigeria,30.9,33.3,32.0,32.4,22.2,8.4,2023,year,Africa
557,Tanzania,30.8,9.9,20.8,28.4,21.9,20.5,2023,year,Africa
558,Rwanda,30.0,14.2,22.4,26.3,24.2,30.0,2023,year,Africa
559,Morocco,29.3,7.5,18.8,25.4,19.7,33.6,2023,year,Africa
560,Azerbaijan,28.9,7.5,18.7,25.4,26.9,32.0,2023,year,Asia
561,Paraguay,28.6,9.3,19.4,24.4,21.4,27.8,2023,year,South America
562,Kosovo,28.4,8.0,18.6,25.1,19.6,37.6,2023,year,Europe
563,Kazakhstan,28.1,11.5,20.2,25.0,26.4,38.1,2023,year,Asia
564,Turkey,28.1,7.2,18.1,23.2,18.3,31.0,2023,year,Asia
565,Algeria,27.6,4.3,16.5,30.1,13.6,26.9,2023,year,Africa
566,Uzbekistan,27.0,10.7,19.2,25.4,22.9,24.8,2023,year,Asia
567,Ghana,26.7,14.6,20.9,26.5,23.6,17.2,2023,year,Africa
568,Bangladesh,26.6,3.2,15.4,25.2,16.6,26.9,2023,year,Asia
569,Tunisia,26.5,5.0,16.2,25.6,14.4,30.0,2023,year,Africa
570,Syria,26.1,4.5,15.7,23.7,19.0,5.5,2023,year,Asia
571,Kyrgyzstan,25.9,9.3,18.0,24.7,23.5,25.5,2023,year,Asia
572,Ukraine,25.6,8.1,17.2,22.2,21.2,38.1,2023,year,Europe
573,Sri Lanka,25.3,5.4,15.8,31.0,12.0,16.0,2023,year,Asia
574,Nepal,24.8,3.7,14.7,22.8,17.3,21.8,2023,year,Asia
575,Libya,24.2,5.2,15.1,23.1,19.3,32.1,2023,year,Africa
576,Colombia,23.1,7.0,15.4,21.0,17.3,31.1,2023,year,South America
577,India,22.4,5.5,14.3,23.3,15.7,64.6,2023,year,Asia
578,Egypt,21.6,4.3,13.3,19.6,18.0,21.9,2023,year,Africa
579,Pakistan,18.0,3.4,11.0,15.4,13.7,24.4,2023,year,Asia
580,Bermuda,146.0,98.6,123.8,148.7,159.2,81.1,2022,year,North America
581,Switzerland,123.3,53.5,90.6,128.1,122.1,118.4,2022,year,Europe
582,Norway,100.9,34.7,69.9,97.3,105.5,83.1,2022,year,Europe
583,Iceland,94.9,41.9,70.1,90.2,99.4,77.1,2022,year,Europe
584,Barbados,92.4,22.0,59.4,87.8,78.2,32.1,2022,year,North America
585,Jersey,92.0,65.3,79.5,76.9,94.6,79.1,2022,year,Europe
586,Israel,88.1,33.9,62.7,76.7,95.3,75.6,2022,year,Asia
587,Denmark,84.1,33.2,60.3,68.6,98.8,99.5,2022,year,Europe
588,Bahamas,84.0,35.3,61.2,70.6,89.1,45.1,2022,year,North America
589,Singapore,84.0,66.4,75.8,77.1,61.2,91.3,2022,year,Asia
590,Guernsey,83.6,54.0,69.7,76.8,90.0,71.6,2022,year,Europe
591,Hong Kong,80.7,74.6,77.8,84.7,58.6,65.7,2022,year,Asia
592,Luxembourg,80.5,60.1,70.9,74.7,88.8,98.8,2022,year,Europe
593,Australia,77.7,36.8,58.6,77.4,73.0,104.6,2022,year,Oceania
594,Japan,77.0,25.9,53.0,81.3,45.4,87.1,2022,year,Asia
595,Ireland,76.1,42.1,60.1,62.1,80.4,82.3,2022,year,Europe
596,Netherlands,75.7,36.1,57.1,65.5,76.4,88.0,2022,year,Europe
597,New Zealand,74.5,34.4,55.7,72.0,70.1,83.6,2022,year,Oceania
598,France,74.1,25.3,51.3,73.6,71.8,85.4,2022,year,Europe
599,South Korea,73.2,20.0,48.3,92.0,42.1,76.9,2022,year,Asia
600,Finland,73.2,25.9,51.0,65.2,77.6,91.0,2022,year,Europe
601,Belgium,72.6,25.8,50.7,63.3,78.6,79.7,2022,year,Europe
602,Sweden,71.7,25.9,50.2,65.8,72.6,98.1,2022,year,Europe
603,Austria,71.0,27.1,50.5,65.9,66.0,77.3,2022,year,Europe
604,Canada,70.2,34.3,53.4,70.0,67.9,88.0,2022,year,North America
605,United States,70.1,42.1,57.0,70.4,70.1,106.3,2022,year,North America
606,United Kingdom,69.7,31.8,51.9,56.6,76.8,88.8,2022,year,Europe
607,Lebanon,69.6,24.8,48.6,66.8,54.2,35.1,2022,year,Asia
608,Malta,67.8,29.7,50.0,59.6,72.4,44.2,2022,year,Europe
609,Macao,66.8,43.0,55.6,67.9,51.3,69.3,2022,year,Asia
610,Puerto Rico,66.5,18.4,44.0,69.6,55.6,72.8,2022,year,North America
611,Italy,66.5,20.6,44.9,58.0,70.6,61.7,2022,year,Europe
612,Seychelles,65.9,32.4,50.2,61.5,77.0,19.4,2022,year,Africa
613,Germany,65.6,27.6,47.8,52.3,60.9,103.1,2022,year,Europe
614,Qatar,62.8,48.2,56.0,55.0,63.0,93.7,2022,year,Asia
615,Taiwan,62.4,17.7,41.4,76.2,29.4,58.3,2022,year,Asia
616,Cyprus,59.0,22.4,41.8,49.2,61.1,57.3,2022,year,Europe
617,United Arab Emirates,58.3,43.3,51.3,46.7,61.5,92.2,2022,year,Asia
618,Palestine,58.1,11.0,36.0,51.2,44.6,39.8,2022,year,Asia
619,Maldives,57.7,30.2,44.8,56.6,34.7,28.6,2022,year,Asia
620,Greece,56.2,12.7,35.8,44.7,52.2,39.7,2022,year,Europe
621,Cuba,55.0,15.2,36.4,47.9,33.5,1.4,2022,year,North America
622,Trinidad And Tobago,54.9,16.0,36.6,54.0,53.7,38.5,2022,year,North America
623,Bahrain,54.8,29.2,42.8,44.6,48.9,61.4,2022,year,Asia
624,Slovenia,53.9,17.9,37.0,47.7,46.7,59.5,2022,year,Europe
625,Spain,53.9,21.3,38.6,45.7,54.0,70.0,2022,year,Europe
626,Estonia,53.7,16.4,36.2,42.3,56.4,63.5,2022,year,Europe
627,Yemen,53.1,6.7,31.4,67.1,24.7,14.4,2022,year,Asia
628,Uruguay,52.1,13.9,34.2,44.0,49.4,30.1,2022,year,South America
629,Suriname,51.8,9.7,32.1,45.9,79.6,13.4,2022,year,South America
630,Panama,51.4,21.7,37.5,52.2,43.4,33.1,2022,year,North America
631,Belize,51.3,11.6,32.7,48.8,36.6,45.7,2022,year,North America
632,Saudi Arabia,50.4,11.7,32.2,42.6,35.5,91.8,2022,year,Asia
633,Senegal,50.2,23.0,37.5,42.2,46.2,23.5,2022,year,Africa
634,Jamaica,49.7,15.1,33.5,53.4,35.0,30.3,2022,year,North America
635,Oman,49.4,16.8,34.1,46.5,43.2,84.2,2022,year,Asia
636,Jordan,49.2,9.2,30.5,40.8,41.2,31.3,2022,year,Asia
637,Cambodia,49.1,15.7,33.4,50.6,22.9,13.3,2022,year,Asia
638,Croatia,48.9,13.4,32.3,42.0,41.3,47.5,2022,year,Europe
639,Kuwait,48.7,31.3,40.5,35.6,47.5,78.6,2022,year,Asia
640,Latvia,48.5,11.8,31.3,38.4,42.1,51.6,2022,year,Europe
641,Libya,48.3,12.9,31.7,54.0,34.1,33.2,2022,year,Africa
642,Czech Republic,48.2,18.4,34.3,42.8,36.7,66.5,2022,year,Europe
643,Portugal,47.9,20.7,35.2,39.0,40.3,46.8,2022,year,Europe
644,Ethiopia,47.5,16.9,33.1,36.7,18.0,10.1,2022,year,Africa
645,Ivory Coast,47.0,17.7,33.3,40.2,32.0,6.9,2022,year,Africa
646,Costa Rica,47.0,14.7,31.9,45.5,41.7,39.9,2022,year,North America
647,Zimbabwe,45.7,8.8,28.4,39.9,38.1,19.1,2022,year,Africa
648,Lithuania,45.6,15.0,31.3,36.2,46.6,58.7,2022,year,Europe
649,Slovakia,44.7,16.1,31.3,39.7,36.1,54.7,2022,year,Europe
650,El Salvador,44.4,13.2,29.8,44.3,35.5,21.2,2022,year,North America
651,Mauritius,44.1,11.0,28.6,45.6,33.4,29.6,2022,year,Africa
652,Chile,43.9,13.5,29.7,38.9,43.3,33.3,2022,year,South America
653,Guatemala,43.5,15.6,30.4,41.9,32.6,26.4,2022,year,North America
654,Thailand,43.2,14.7,29.8,45.1,22.6,31.6,2022,year,Asia
655,Venezuela,43.2,10.0,27.6,37.3,46.2,15.4,2022,year,South America
656,Fiji,43.2,17.8,31.3,48.1,37.4,35.9,2022,year,Oceania
657,South Africa,42.1,16.6,30.1,34.8,41.3,78.4,2022,year,Africa
658,Dominican Republic,41.8,9.6,26.7,38.5,34.3,21.1,2022,year,North America
659,China,41.8,16.5,29.9,46.0,28.4,60.0,2022,year,Asia
660,Hungary,40.7,11.9,27.2,35.2,32.8,52.0,2022,year,Europe
661,Honduras,40.5,10.3,26.3,34.7,28.7,32.1,2022,year,North America
662,Botswana,40.2,10.2,26.1,35.2,42.5,62.6,2022,year,Africa
663,Nicaragua,39.6,8.7,25.1,38.1,27.5,17.6,2022,year,North America
664,Cameroon,39.5,6.9,24.2,40.4,26.3,15.4,2022,year,Africa
665,Poland,39.0,14.4,27.5,32.4,33.5,60.0,2022,year,Europe
666,Montenegro,38.9,12.9,26.7,31.8,33.2,34.2,2022,year,Europe
667,Bulgaria,38.4,9.1,24.6,34.0,32.4,46.0,2022,year,Europe
668,Vietnam,37.5,13.2,26.1,38.7,20.0,29.4,2022,year,Asia
669,Iran,37.4,17.0,27.9,29.5,25.2,18.0,2022,year,Asia
670,Ecuador,37.3,11.3,25.1,34.5,28.6,31.8,2022,year,South America
671,Philippines,37.1,9.6,24.2,37.8,20.6,21.5,2022,year,Asia
672,Malaysia,37.0,9.9,24.3,39.4,20.8,55.3,2022,year,Asia
673,Serbia,36.2,8.7,23.3,28.2,29.2,37.8,2022,year,Europe
674,Ghana,36.2,19.3,28.3,37.5,30.1,16.8,2022,year,Africa
675,Bosnia And Herzegovina,36.1,6.8,22.4,31.1,25.3,44.1,2022,year,Europe
676,Indonesia,35.9,9.8,23.6,38.3,17.7,21.1,2022,year,Asia
677,Myanmar,35.7,21.2,28.9,37.6,20.0,13.8,2022,year,Asia
678,Albania,35.5,8.5,22.8,29.3,25.8,30.2,2022,year,Europe
679,Mexico,35.3,12.6,24.7,34.8,32.7,38.6,2022,year,North America
680,Russia,35.3,13.1,24.9,29.9,34.6,37.4,2022,year,Europe
681,Romania,35.2,10.2,23.5,31.4,30.0,48.1,2022,year,Europe
682,Bolivia,34.8,10.2,23.2,31.3,25.0,36.0,2022,year,South America
683,Mongolia,34.7,11.2,23.7,36.1,22.8,24.3,2022,year,Asia
684,Argentina,34.7,7.7,22.0,28.2,33.3,30.7,2022,year,South America
685,Somalia,34.6,5.2,20.8,39.4,26.6,29.4,2022,year,Africa
686,Iraq,34.5,10.6,23.3,30.5,28.3,40.9,2022,year,Asia
687,Kenya,33.9,8.7,22.1,31.3,28.8,32.2,2022,year,Africa
